                  | jackson-annotations | jackson-core | jackson-databind | jackson-dataformat-avro | jackson-dataformat-cbor | jackson-dataformat-csv | jackson-dataformat-properties | jackson-dataformat-protobuf | jackson-dataformat-smile | jackson-dataformat-xml | jackson-dataformat-yaml | jackson-dataformats-binary | jackson-dataformats-text | jackson-datatype-guava | jackson-datatype-hibernate-parent | jackson-datatype-hibernate3 | jackson-datatype-hibernate4 | jackson-datatype-hibernate5 | jackson-datatype-hppc | jackson-datatype-jaxrs | jackson-datatype-jdk8 | jackson-datatype-joda | jackson-datatype-json-org | jackson-datatype-jsr310 | jackson-datatype-jsr353 | jackson-datatype-pcollections | jackson-datatypes-collections | jackson-jaxrs-base | jackson-jaxrs-cbor-provider | jackson-jaxrs-json-provider | jackson-jaxrs-providers | jackson-jaxrs-smile-provider | jackson-jaxrs-xml-provider | jackson-jaxrs-yaml-provider | jackson-jr-all | jackson-jr-objects | jackson-jr-parent | jackson-jr-retrofit2 | jackson-jr-stree | jackson-module-afterburner | jackson-module-guice | jackson-module-jaxb-annotations | jackson-module-jsonSchema | jackson-module-kotlin | jackson-module-mrbean | jackson-module-osgi | jackson-module-parameter-names | jackson-module-paranamer | jackson-modules-base | jackson-modules-java8
2.1.3             |                     |  *           |  *               |                         |                         |                        |                               |                             |  *                       |  *                     |  *                      |                            |                          |                        |                                   |                             |                             |                             |                       |                        |                       |                       |                           |                         |                         |                               |                               |                    |                             |  *                          |                         |  *                           |  *                         |                             |                |                    |                   |                      |                  |                            |                      |  *                              |                           |                       |                       |                     |                                |                          |                      |                       |
2.1.4             |  *                  |  *           |  *               |  *                      |                         |  *                     |                               |                             |  *                       |  *                     |  *                      |                            |                          |                        |                                   |                             |                             |                             |                       |                        |                       |                       |                           |                         |                         |                               |                               |                    |                             |  *                          |                         |  *                           |  *                         |                             |                |                    |                   |                      |                  |                            |                      |  *                              |                           |                       |                       |                     |                                |                          |                      |                       |
2.1.5             |  *                  |  *           |  *               |  *                      |                         |  *                     |                               |                             |  *                       |  *                     |  *                      |                            |                          |  *                     |  *                                |  *                          |  *                          |                             |  *                    |                        |                       |  *                    |  *                        |                         |                         |                               |                               |                    |                             |  *                          |                         |  *                           |  *                         |                             |                |                    |                   |                      |                  |  *                         |                      |  *                              |  *                        |                       |  *                    |                     |                                |                          |                      |                       |
2.2.0             |  *                  |  *           |  *               |  *                      |                         |  *                     |                               |                             |  *                       |  *                     |  *                      |                            |                          |  *                     |  *                                |  *                          |  *                          |                             |  *                    |                        |                       |  *                    |  *                        |                         |  *                      |                               |                               |  *                 |                             |  *                          |  *                      |  *                           |  *                         |                             |                |                    |                   |                      |                  |  *                         |                      |  *                              |  *                        |                       |  *                    |                     |                                |  *                       |                      |                       |
2.2.0-beta1       |                     |              |                  |                         |                         |                        |                               |                             |                          |                        |                         |                            |                          |                        |                                   |                             |                             |                             |                       |                        |                       |                       |                           |  *                      |                         |                               |                               |                    |                             |                             |                         |                              |                            |                             |                |                    |                   |                      |                  |                            |                      |                                 |                           |                       |                       |                     |                                |                          |                      |                       |
2.2.0-rc1         |  *                  |  *           |  *               |                         |                         |                        |                               |                             |  *                       |  *                     |                         |                            |                          |                        |  *                                |  *                          |  *                          |                             |                       |                        |                       |                       |                           |                         |                         |                               |                               |  *                 |                             |  *                          |  *                      |  *                           |  *                         |                             |                |                    |                   |                      |                  |                            |                      |  *                              |                           |                       |                       |                     |                                |                          |                      |                       |
2.2.1             |  *                  |  *           |  *               |  *                      |                         |  *                     |                               |                             |  *                       |  *                     |  *                      |                            |                          |                        |  *                                |  *                          |  *                          |                             |  *                    |                        |                       |  *                    |  *                        |                         |  *                      |                               |                               |  *                 |                             |  *                          |  *                      |  *                           |  *                         |                             |                |                    |                   |                      |                  |  *                         |                      |  *                              |  *                        |                       |  *                    |                     |                                |                          |                      |                       |
2.2.1-beta2       |                     |              |                  |                         |                         |                        |                               |                             |                          |                        |                         |                            |                          |                        |                                   |                             |                             |                             |                       |                        |                       |                       |                           |  *                      |                         |                               |                               |                    |                             |                             |                         |                              |                            |                             |                |                    |                   |                      |                  |                            |                      |                                 |                           |                       |                       |                     |                                |                          |                      |                       |
2.2.2             |  *                  |  *           |  *               |  *                      |                         |  *                     |                               |                             |  *                       |  *                     |  *                      |                            |                          |  *                     |  *                                |  *                          |  *                          |                             |  *                    |                        |                       |  *                    |  *                        |                         |  *                      |                               |                               |  *                 |                             |  *                          |  *                      |  *                           |  *                         |                             |                |                    |                   |                      |                  |  *                         |                      |  *                              |  *                        |                       |  *                    |                     |                                |  *                       |                      |                       |
2.2.2-beta3       |                     |              |                  |                         |                         |                        |                               |                             |                          |                        |                         |                            |                          |                        |                                   |                             |                             |                             |                       |                        |                       |                       |                           |  *                      |                         |                               |                               |                    |                             |                             |                         |                              |                            |                             |                |                    |                   |                      |                  |                            |                      |                                 |                           |                       |                       |                     |                                |                          |                      |                       |
2.2.2-beta4       |                     |              |                  |                         |                         |                        |                               |                             |                          |                        |                         |                            |                          |                        |                                   |                             |                             |                             |                       |                        |                       |                       |                           |  *                      |                         |                               |                               |                    |                             |                             |                         |                              |                            |                             |                |                    |                   |                      |                  |                            |                      |                                 |                           |                       |                       |                     |                                |                          |                      |                       |
2.2.3             |  *                  |  *           |  *               |  *                      |                         |  *                     |                               |                             |  *                       |  *                     |  *                      |                            |                          |  *                     |  *                                |  *                          |  *                          |                             |  *                    |                        |                       |  *                    |  *                        |                         |  *                      |                               |                               |  *                 |                             |  *                          |  *                      |  *                           |  *                         |                             |                |                    |                   |                      |                  |  *                         |                      |  *                              |  *                        |                       |  *                    |                     |                                |  *                       |                      |                       |
2.2.3-beta5       |                     |              |                  |                         |                         |                        |                               |                             |                          |                        |                         |                            |                          |                        |                                   |                             |                             |                             |                       |                        |                       |                       |                           |  *                      |                         |                               |                               |                    |                             |                             |                         |                              |                            |                             |                |                    |                   |                      |                  |                            |                      |                                 |                           |                       |                       |                     |                                |                          |                      |                       |
2.2.4             |  *                  |  *           |  *               |                         |                         |                        |                               |                             |  *                       |  *                     |                         |                            |                          |  *                     |                                   |                             |                             |                             |                       |                        |                       |  *                    |                           |                         |                         |                               |                               |  *                 |                             |  *                          |  *                      |  *                           |  *                         |                             |                |                    |                   |                      |                  |                            |                      |  *                              |                           |                       |                       |                     |                                |                          |                      |                       |
2.3.0             |  *                  |  *           |  *               |  *                      |                         |  *                     |                               |                             |  *                       |  *                     |  *                      |                            |                          |  *                     |  *                                |  *                          |  *                          |                             |  *                    |                        |                       |  *                    |  *                        |                         |  *                      |                               |                               |  *                 |                             |  *                          |  *                      |  *                           |  *                         |                             |                |  *                 |  *                |                      |                  |  *                         |  *                   |  *                              |  *                        |                       |  *                    |                     |                                |  *                       |                      |                       |
2.3.0-1           |                     |              |                  |                         |                         |                        |                               |                             |                          |                        |                         |                            |                          |                        |  *                                |  *                          |  *                          |                             |                       |                        |                       |                       |                           |                         |                         |                               |                               |                    |                             |                             |                         |                              |                            |                             |                |                    |                   |                      |                  |                            |                      |                                 |                           |                       |                       |                     |                                |                          |                      |                       |
2.3.0-beta6       |                     |              |                  |                         |                         |                        |                               |                             |                          |                        |                         |                            |                          |                        |                                   |                             |                             |                             |                       |                        |                       |                       |                           |  *                      |                         |                               |                               |                    |                             |                             |                         |                              |                            |                             |                |                    |                   |                      |                  |                            |                      |                                 |                           |                       |                       |                     |                                |                          |                      |                       |
2.3.0-beta7       |                     |              |                  |                         |                         |                        |                               |                             |                          |                        |                         |                            |                          |                        |                                   |                             |                             |                             |                       |                        |                       |                       |                           |  *                      |                         |                               |                               |                    |                             |                             |                         |                              |                            |                             |                |                    |                   |                      |                  |                            |                      |                                 |                           |                       |                       |                     |                                |                          |                      |                       |
2.3.0-rc1         |  *                  |  *           |  *               |  *                      |                         |  *                     |                               |                             |  *                       |  *                     |  *                      |                            |                          |  *                     |  *                                |  *                          |  *                          |                             |  *                    |                        |                       |  *                    |  *                        |  *                      |  *                      |                               |                               |  *                 |                             |  *                          |  *                      |  *                           |  *                         |                             |                |                    |                   |                      |                  |  *                         |                      |  *                              |  *                        |                       |  *                    |                     |                                |  *                       |                      |                       |
2.3.1             |  *                  |  *           |  *               |  *                      |                         |  *                     |                               |                             |  *                       |  *                     |  *                      |                            |                          |  *                     |  *                                |  *                          |  *                          |                             |  *                    |                        |                       |  *                    |  *                        |  *                      |  *                      |                               |                               |  *                 |                             |  *                          |  *                      |  *                           |  *                         |                             |                |  *                 |  *                |                      |                  |  *                         |  *                   |  *                              |  *                        |                       |  *                    |                     |                                |  *                       |                      |                       |
2.3.2             |  *                  |  *           |  *               |  *                      |  *                      |  *                     |                               |                             |  *                       |  *                     |  *                      |                            |                          |  *                     |  *                                |  *                          |  *                          |                             |  *                    |                        |                       |  *                    |  *                        |  *                      |  *                      |                               |                               |  *                 |  *                          |  *                          |  *                      |  *                           |  *                         |                             |                |                    |                   |                      |                  |  *                         |  *                   |  *                              |  *                        |                       |  *                    |                     |                                |  *                       |                      |                       |
